name,shares
AUBANK,1591569382.0
AXISBANK,2683427296.0
BANKBARODA,5250573036.0
CANBK,9558181019.0
FEDERALBNK,6951071217.0
HDFCBANK,5444681592.0
ICICIBANK,6628316914.0
IDFCFIRSTB,17577199349.0
INDUSINDBK,1867139444.0
KOTAKBANK,1383202660.0
PNB,9775384432.0
SBIN,3883736186.0
value,37613121561584.0
price,55087.15
basedate,20250430.0
yesterror,0.2586051221646522
prev_total_value,38146533102310.05
prev_total_price,56032.9
