name,shares
AUBANK,1402547266
AXISBANK,2702508376
BANKBARODA,4622268654
CANBK,8416163740
FEDERALBNK,6126272418
HDFCBANK,5429298145
ICICIBANK,6730978031
IDFCFIRSTB,16496970143
INDUSINDBK,1644069822
KOTAKBANK,1491588580
PNB,8607398950
SBIN,4098437657
value,37669000001384
price,55961.95
basedate,20250731
