name,shares
AUBANK,1365829945.0
AXISBANK,2748609128.0
BANKBARODA,4541279748.0
CANBK,8207416564.0
FEDERALBNK,5965488121.0
HDFCBANK,5431996075.0
ICICIBANK,6678764222.0
IDFCFIRSTB,15088028772.0
INDUSINDBK,1610301990.0
KOTAKBANK,1688399590.0
PNB,8393981005.0
SBIN,3642595819.0
value,32565670000126.0
price,48344.7
basedate,20250228.0
yesterror,33.24406509079315
